age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
34,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,42,United-States
28,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
19,?,10,Never-married,?,Own-child,White,Male,594,0,30,United-States
18,Private,7,Never-married,Sales,Own-child,White,Female,0,0,10,United-States
39,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1848,42,United-States
23,Private,7,Never-married,Transport-moving,Own-child,White,Female,0,0,38,United-States
26,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,96,United-States
55,Private,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States
59,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2002,50,United-States
57,Private,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Poland
17,Private,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,20,United-States
44,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
32,Private,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
77,Self-emp-not-inc,1,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States
43,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
40,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States
23,State-gov,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States
25,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States
33,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
49,Self-emp-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
29,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1485,40,United-States
37,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States
40,?,10,Married-civ-spouse,?,Wife,White,Female,0,0,25,United-States
21,Private,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
30,Private,12,Never-married,Craft-repair,Not-in-family,White,Male,4787,0,50,United-States
27,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
37,Private,10,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States
31,Self-emp-not-inc,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,50,United-States
63,Private,11,Widowed,Adm-clerical,Unmarried,White,Female,0,0,8,United-States
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,48,United-States
45,Self-emp-inc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
23,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States
20,?,10,Never-married,?,Not-in-family,White,Male,0,0,40,United-States
23,Private,10,Never-married,Other-service,Unmarried,White,Female,0,0,20,United-States
34,?,9,Divorced,?,Not-in-family,White,Female,0,0,40,United-States
45,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany
73,Local-gov,3,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,25,Philippines
41,Private,6,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States
41,Private,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States
48,Private,10,Never-married,Craft-repair,Unmarried,White,Female,0,0,38,United-States
31,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Italy
41,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
18,?,9,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,1602,38,United-States
45,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,24,Canada
25,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States
62,Private,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,20,United-States
18,Private,10,Never-married,Sales,Own-child,White,Female,0,0,15,United-States
37,Private,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico
31,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
32,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States
24,Private,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
33,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
58,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
43,?,9,Married-civ-spouse,?,Husband,White,Male,0,0,35,United-States
48,Private,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
51,Self-emp-inc,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States
